#,Web_ID,PDF_ID,Common_Length,Common_Substring,Web_Text,PDF_Text
1,W-070,P-064,23,駅からバスで「大村市役所」下車、徒歩約10分 ,"おおむらじんじゃ
44大村神社
1884(明治17)年大村藩の廃藩に伴い、旧藩士たちが玖島城本丸跡に歴代の領主藩主を祀るため創建。明治18年県社に昇格した。境内のオオムラサクラは天然記念物。大村市民の","44大村神社
サクラとして親しまれる。
JR駅からバスで「大村市役所」下車、徒歩約10分
1-34-34
1"
2,W-201,P-088,21,JR八代駅からバスで「八代宮前」下車すぐ ,"最寄り駅JR八代駅からバスで「八代宮前」下車すぐ
住所熊本県八代市松江城町7-34
電話:0965-35-2448
初穂料御朱印500円
御朱印対応時間:8:30~15:30","63Aft
の思し召しにより地として明
JR八代駅からバスで「八代宮前」下車すぐ
7-34"
3,W-090,P-068,18,として、現在も多くの参拝者がある。 ,"47高城神社
諫早初代領主龍造寺家晴公を祭神に、諫早城跡に高城明神とし祀られた。幾度かの水害により、現在の城山中腹に遷座する神社。諫早総鎮守として、現在も多くの参拝者がある。
/特別
御朱印
たかしろ","高城神社
れた。
として、現在も多くの参拝者がある。
駅から徒歩約7分"
4,W-118,P-063,17,51宇佐神宮 全国4万社余りの八幡,"うさじんぐう
51宇佐神宮
全国4万社余りの八幡神社総本宮。本殿は古代の神社建築の様式を受け継ぐ八幡造で国宝に指定されている。2025年には八幡大神が本殿に鎮座されて1300年の佳節を迎える。
(特別","51宇佐神宮
全国4万社余りの八幡受
JRバスで約10分
2
されて1300年を迎える。"
5,W-126,P-066,17,52八幡竈門神社 全国的にも珍しい,"52八幡竈門神社
全国的にも珍しい三十六神を祀る八幡竈門神社は、別府湾や国東半島など絶景を望む小高い山に鎮座する。開運なで亀や拝殿天井画の龍、空洞のある御神木など見どころも多い。
最寄り駅JR亀川駅か","52八幡竈門神社
全国的にも珍しい
空調のあるなど見どころも多い。
JR亀川駅から徒歩約20分"
6,W-211,P-092,16,JR鹿児島中央駅から徒歩約17分,最寄り駅JR鹿児島中央駅から徒歩約17分,"65神社
JR鹿児島中央駅から徒歩約17分
3-24-5"
7,W-190,P-083,15,JR肥後大津駅から徒歩約10分,最寄り駅JR肥後大津駅から徒歩約10分,"61大津日吉神社
JR肥後大津駅から徒歩約10分
184-1"
8,W-105,P-074,14,駅からバスで「ロープウェイ前,最寄り駅JR長崎駅からバスで「ロープウェイ前」下車、徒歩すぐ,"49神社
JR駅からバスで「ロープウェイ前下車、徒歩すぐ
-"
9,W-134,P-067,14,JR大分駅から徒歩約20分 ,"JR大分駅から徒歩約20分
最寄り駅","SELAL
53春神社
JR大分駅から徒歩約20分
4-87
ありながらである。"
10,W-256,P-093,14,宮崎県宮崎市神宮2-4-1 ,"住所:宮崎県宮崎市神宮2-4-1
電話:0985-27-4004
初穂料特別御朱印300円御朱印300円御朱印対応時間:8:00~17:00
ホームページ
ホームページ","APERCATS72宮崎神宮
が祀られている
JR駅から徒歩約10分宮崎県宮崎市神宮2-4-1
神"
11,W-038,P-052,13,野温泉駅から徒歩約25分 ,"JR嬉野温泉駅から徒歩約25分
最寄り駅","38玉神社
JR野温泉駅から徒歩約25分
大学2231-2
人気"
12,W-231,P-084,13,JR隼人駅から徒歩約15分,最寄り駅JR隼人駅から徒歩約15分,"68鹿児島神宮
JR隼人駅から徒歩約15分
人町9-1"
13,W-048,P-094,12,として親しまれている。 ,"40亀山八幡宮
平戸藩主松浦家の代々の守護神として崇められ、軍港佐世保旧海軍の武神としての崇敬も集めた。家内安全や安産などのご神徳があり、地域の氏神さま「八幡さん」として親しまれている。
最寄り駅JR","73青島神社
と呼ばれる
知られる
JR
2-13-1
として親しまれている。
イメージです。"
14,W-063,P-061,12,を受け、「とんまつさん」,"43富松神社
江戸期に藩主大村氏が藤原姓を名乗ったことから、藤原一門の祖神奈良春日大社の御祭神「天児屋根命」を祀る社として篤い信仰を受け、「とんまつさん」の名で親しまれてきた鎮守の氏神。
/特別
御朱","43富松神社
を受け、「とんまつさん」神
駅から徒歩約10分
を名乗ったことから、"
15,W-219,P-080,12,鹿児島県鹿児島市下福元町,"住所鹿児島県鹿児島市下福元町3786-3電話:099-268-8344
初穂料特別御朱印1,500円御朱印対応時間:9:00~17:00
ホームページ","66神社
JR
鹿児島県鹿児島市下福元町784-3"
16,W-261,P-094,12,として親しまれている。 ,"あおしまじんじゃ
73青島神社
鬼の洗濯板と呼ばれる奇岩が広がる青島全体が境内地。神話で知られる彦火火出見命を祭神とし、豊玉姫命塩筒大神の三神が祀られ、緑
結びの社として親しまれている。
/特別
御朱","73青島神社
と呼ばれる
知られる
JR
2-13-1
として親しまれている。
イメージです。"
17,W-033,P-052,11,温泉駅から徒歩約25分,最寄り駅JR武雄温泉駅から徒歩約25分,"38玉神社
JR野温泉駅から徒歩約25分
大学2231-2
人気"
18,W-151,P-094,11,として親しまれている。,"56扇森稲荷神社
1616年に稲荷神社として創祀。「こうとうさま」と呼ばれパワースポットとして親しまれている。17mの大鳥居を通り100段の石段を登ると、朱の鳥居が並ぶ参道が現れ圧巻の景色。
特別
御","73青島神社
と呼ばれる
知られる
JR
2-13-1
として親しまれている。
イメージです。"
19,W-246,P-090,11,があるとされている。 ,"71都農神社
格式の高い「日向国一之宮」に位置付けられたパワースポット。鎮守の森に囲まれた境内は、神秘的で厳かな雰囲気。病気平癒をはじめ、縁結び、子孫繁栄、家内安全、商売繁盛などのご利益があるとされて","71神社
に囲まれた方は、気
JR駅から徒歩約20分
をはじめ、
があるとされている。
1329
ただます"
20,W-020,P-083,10,津駅から徒歩約10分,最寄り駅JR唐津駅から徒歩約10分,"61大津日吉神社
JR肥後大津駅から徒歩約10分
184-1"
21,W-059,P-027,10,駅から徒歩約10分 ,"JR大村車両基地駅から徒歩約10分
最寄り駅","13春日神社
JR駅から徒歩約10分
藤田1-10-44"
22,W-098,P-073,10,神社」下車、徒歩すぐ,最寄り駅JR長崎駅から路面電車で「諏訪神社」下車、徒歩すぐ,"48西大社諏訪神社
西大社とえられる上
としてされている神くんろ」
日本
JR駅から電車で「神社」下車、徒歩すぐ
長崎県長崎市上山"
23,W-139,P-069,10,54上野若宮八幡社 ,"54上野若宮八幡社
1195年、豊後の守護大友氏初代当主の能直が源氏の氏神を祀る鎌倉の鶴岡八幡宮から分霊したと伝えられ、豊後大友氏ゆかりの神社。拝殿と本殿は鮮やかな朱塗りで、ひと際目を引く。
/特別
","54上野若宮八幡社
JR大分駅徒歩約15分
大分市上野町
1
大友氏ゆかり"
24,W-141,P-067,10,JR大分駅から徒歩約,最寄り駅JR大分駅から徒歩約15分,"SELAL
53春神社
JR大分駅から徒歩約20分
4-87
ありながらである。"
25,W-148,P-027,10,駅から徒歩約10分 ,"JR日田駅から徒歩約10分
最寄り駅","13春日神社
JR駅から徒歩約10分
藤田1-10-44"
26,W-206,P-065,10,駅から徒歩約20分 ,"JR出水駅から徒歩約20分
最寄り駅","45館山稲荷神社
JR駅から徒歩約20分
1・1
守をち"
27,W-217,P-032,10,駅から徒歩約15分 ,"JR慈眼寺駅から徒歩約15分
最寄り駅","15一宮神社
運のご利益を伝えられ
されている。
JR駅から徒歩約15分
区山町12-36"
28,W-238,P-027,10,駅から徒歩約10分 ,"いまやまはちまんぐう69今山八幡宮
宮崎県北総鎮守今山八幡宮は、2月10日、11日に行われる「延岡+日えびす」や6月30日に行われる水無月大祓祭、毎年多くの方がご参拝くださいます。自然と神聖なる空気に","13春日神社
JR駅から徒歩約10分
藤田1-10-44"
29,W-242,P-032,10,駅から徒歩約15分 ,"いまやまだいし70今山大師
1839年(天保10年)延岡の地で疾病が猛威を振るいました。そこで延岡城下の大師信徒たちが高野山金剛峰寺(こんごうぶじ)まで行き、弘法大師座像(現在の本尊)を勧請(かんじょ","15一宮神社
運のご利益を伝えられ
されている。
JR駅から徒歩約15分
区山町12-36"
30,W-263,P-032,10,駅から徒歩約15分 ,"JR青島駅から徒歩約15分
最寄り駅","15一宮神社
運のご利益を伝えられ
されている。
JR駅から徒歩約15分
区山町12-36"
31,W-006,P-014,9,駅から徒歩約15分,最寄り駅JR鳥栖駅から徒歩約15分,"07平等寺(三井寺)
JR川駅から徒歩約15分福岡県田川市伊田2704-1"
32,W-014,P-008,9,神社前」下車、徒歩,最寄り駅JR佐賀駅からバスで「佐嘉神社前」下車、徒歩すぐ,"02布神社
す
伐したことから
JR「和神社前」下車、徒歩"
33,W-025,P-047,9,36大江神大神宮 ,"おおえがみだいじんぐう
36大江神大神宮
731(天平3年)建立。御祭神は天照大御神、豊受姫大神。佐賀を築
き上げた武将たちに護られてきた神社。江北駅(旧肥前山口駅)の歴史も保存され、知ることができる","36大江神大神宮
331(大学3年)
上げたたられてきた
JR約25分"
34,W-027,P-048,9,駅から徒歩約25分,最寄り駅JR江北駅から徒歩約25分,"|武雄神社
集めている。
JR駅から徒歩約25分5327"
35,W-044,P-027,9,駅から徒歩約10分,最寄り駅JR上有田駅から徒歩約10分,"13春日神社
JR駅から徒歩約10分
藤田1-10-44"
36,W-065,P-027,9,駅から徒歩約10分,最寄り駅JR大村駅から徒歩約10分,"13春日神社
JR駅から徒歩約10分
藤田1-10-44"
37,W-078,P-065,9,駅から徒歩約20分,最寄り駅JR諫早駅から徒歩約20分,"45館山稲荷神社
JR駅から徒歩約20分
1・1
守をち"
38,W-084,P-019,9,駅から徒歩約7分 ,"JR諫早駅から徒歩約7分
最寄り駅","|多賀神社
JR駅から徒歩約7分
701
C
イメージです。2"
39,W-092,P-019,9,駅から徒歩約7分 ,"最寄り駅島原鉄道本諫早駅から徒歩約7分
住所長崎県諫早市高城町1-5
電話0957-22-0650
初穂料特別御朱印500円御朱印500円御朱印対応時間:9:00~16:00","|多賀神社
JR駅から徒歩約7分
701
C
イメージです。2"
40,W-113,P-014,9,駅から徒歩約15分,最寄り駅JR中津駅から徒歩約15分,"07平等寺(三井寺)
JR川駅から徒歩約15分福岡県田川市伊田2704-1"
41,W-153,P-065,9,駅から徒歩約20分,最寄り駅JR玉来駅から徒歩約20分,"45館山稲荷神社
JR駅から徒歩約20分
1・1
守をち"
42,W-159,P-010,9,駅から徒歩約5分 ,"JR上臼杵駅から徒歩約5分
最寄り駅","05正八幡宮
としてを深めている。
JR駅から徒歩約5分
-1
る人々"
43,W-166,P-014,9,駅から徒歩約15分,最寄り駅JR臼杵駅から徒歩約15分,"07平等寺(三井寺)
JR川駅から徒歩約15分福岡県田川市伊田2704-1"
44,W-174,P-027,9,駅から徒歩約10分,最寄り駅JR佐伯駅から徒歩約10分,"13春日神社
JR駅から徒歩約10分
藤田1-10-44"
45,W-188,P-083,9,61大津日吉神社 ,"61大津日吉神社
参勤交代第一の宿場町の高台に鎮座する神社で、つつじの名所。「魔除け厄除け鬼門除け日吉大黒福の神」と親しまれ、「魔去る」「勝る」「増さる」に通じ縁起の良いとされる神猿(まさる)像もある","61大津日吉神社
JR肥後大津駅から徒歩約10分
184-1"
46,W-196,P-014,9,駅から徒歩約15分,最寄り駅JR宮地駅から徒歩約15分,"07平等寺(三井寺)
JR川駅から徒歩約15分福岡県田川市伊田2704-1"
47,W-224,P-027,9,駅から徒歩約10分,最寄り駅JR鹿児島駅から徒歩約10分,"13春日神社
JR駅から徒歩約10分
藤田1-10-44"
48,W-255,P-027,9,駅から徒歩約10分,最寄り駅JR宮崎神宮駅から徒歩約10分,"13春日神社
JR駅から徒歩約10分
藤田1-10-44"
49,W-012,P-044,8,アームストロング,"34佐嘉神社
佐賀藩10代藩主鍋島直正、11代鍋島直大公を祀る神社。境内には佐賀藩が日本で初めて造った鉄製カノン砲やアームストロング砲が復元されている。
さがじんじゃ","アームストロング
念佐今
社
一ノ"
50,W-182,P-024,8,駅から徒歩約4分,最寄り駅JR熊本駅から徒歩約4分,"19香椎宮
JR香椎神宮駅から徒歩約4分
4-16-1"
51,W-199,P-088,8,の思し召しにより,"63八代宮
明治維新直後、征西大将軍懐良親王の御墓を八代に決定。明治天皇の思し召しにより創立が許可され、旧八代城址を社地として明治17年4月20日に御祭神、懐良親王の御鎮座大祭が斎行された。
やつしろ","63Aft
の思し召しにより地として明
JR八代駅からバスで「八代宮前」下車すぐ
7-34"
52,W-212,P-080,8,鹿児島県鹿児島市,"住所鹿児島県鹿児島市武3-26-5
電話:099-258-1466
初穂料特別御朱印300円御朱印300円
御朱印対応時間:9:00~17:00","66神社
JR
鹿児島県鹿児島市下福元町784-3"
53,W-225,P-080,8,鹿児島県鹿児島市,"住所:鹿児島県鹿児島市清水町26-1
電話:099-247-1464
初穂料特別御朱印500円御朱印500円御朱印対応時間:9:00~17:00
※不定休
Instagram","66神社
JR
鹿児島県鹿児島市下福元町784-3"
