ID,Source,Page,X1,Y1,X2,Y2,Width,Height,TextLength,Text
W-001,web,1,1453,251,1969,390,516,139,24,"H
駅長がおすすめする寺社を紹介!
1000九州"
W-002,web,1,1734,675,2128,1091,394,416,24,"ぐ社
20252.1(+)
-
10.31(*)"
W-003,web,1,1398,1385,2729,1760,1331,375,128,"2025/6/13
「ぶらり大村線寺社めぐりきっぷ」を発売開始しました。
2025/4/25
「福岡エリア九州寺社めぐりきっぷ」を発売開始しました。
2025/2/21
特別御朱印帳をJR九州商事が運営する通販サイト「九州の旅とお取り寄せ」で発売しました。"
W-004,web,1,960,1532,1196,1587,236,55,4,新着情報
W-005,web,1,1535,2159,2301,2669,766,510,230,"駅長がおすすめする九州の寺社に列車で行こう!
開催期間2025年2月1日土~10月31日金JUIC
開催期間2025年2月1日土~10月31日金
九州には日本に伝わる神話や伝説が多く歴史を持つ寺社があります。
寺社を訪れ、日本の歴史や文化に触れてはいかがでしょうか。参拝した後は「御朱印」をいただきご縁が結ばれた証を持ち帰りましょう。また、JR九州の駅長がおすすめする対象の寺社に
特別御朱印頒布券と初穂料を納めるときっぷ購入者限定の特別御朱印がいただけます。"
W-006,web,1,1878,3299,1945,3756,67,457,7,きっぷのご案内
W-007,web,1,1292,3939,2953,4230,1661,291,101,"おトクなきっぷで九州の寺社めぐりをしよう!JR九州の駅長がおすすめする寺社をめぐるのに便利なきっぷです。
旅名人の九州満喫
福岡エリア九州寺社めぐりきっぷ
寺社めぐりきっぷ
ぶらり大村線寺社めぐりきっぷ"
W-008,web,1,880,4150,1136,4272,256,122,15,ぐるっと九州寺社めぐりきっぷ✓
W-009,web,1,1257,4486,2579,4630,1322,144,36,"\JR九州の普通快速列車が連続する3日間乗り放題!+特典つき/
数量限定"
W-010,web,1,1296,4659,2419,5324,1123,665,81,"ぐるっと九州寺社めぐりきっぷ
2025年1月27日月~10月29日水ご利用期間2025年2月1日土~10月31日金有効期間ご利用開始日から連続する3日間
発売期間"
W-011,web,1,1270,5344,2563,5721,1293,377,135,"※特別御朱印頒布券、特別御朱印帳引換券は10月31日(金)まで
フリー区間
JR九州全線(日田彦山線BRT含む)の普通快速列車の普通車自由席に、連続した3日間乗り放題のきっぷです。別途、特急券をお買い求めいただくと、九州新幹線、西九州新幹線、特急列車がご利用になれます。"
W-012,web,1,1507,5884,2284,6198,777,314,32,"特別御朱印帳付※数量限定
特別御朱印
5枚+頒布券※要初穂料
+"
W-013,web,1,899,6070,1456,6185,557,115,21,JR九州普通快速列車連続する3日間乗り放題
W-014,web,1,1676,6057,2896,6627,1220,570,38,"特別御朱印帳引換券
駅の窓口発売
17,000円
>
1枚
きっぷを購入する"
W-015,web,1,1190,6284,1929,6329,739,45,15,JR九州インターネット列車予約
W-016,web,1,1308,6348,1894,6451,586,103,7,"15,500円"
W-017,web,1,1548,6924,2518,7664,970,740,61,"特別御朱印帳なし
特別御朱印頒布券※要初穂料
JR九州インターネット列車予約14,300円
きっぷを購入する
+
5枚
>"
W-018,web,1,1280,7107,1836,7225,556,118,21,JR九州普通快速列車連続する3日間乗り放題
